0000000001,add,file,10/25/2007,23:21:54,"book","","",
0000000002,add,file,10/25/2007,23:22:55,"book","","",
0000000003,add,file,10/25/2007,23:23:41,"book","","",
0000000004,add,file,10/25/2007,23:24:17,"book","","",
0000000005,add,file,10/25/2007,23:25:58,"book","","",
0000000006,add,file,10/26/2007,20:20:11,"book","","",
0000000007,add,file,11/19/2007,23:16:09,"book","","",
0000000008,add,file,11/19/2007,23:16:39,"book","","",
0000000009,add,file,11/19/2007,23:17:07,"book","","",
0000000010,add,file,11/19/2007,23:17:18,"book","","",
